ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
1,2014-12-18,San José,San José,No registrada,Denuncia ante entidades nacionales y/o entidades internacionales,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Entregar información sobre la TCM.,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,SETENA,Entidades de regulación,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El SINTRAJAP informa que ha presentado un recurso de amparo en contra de la SETENA debido a la negativa de esta de entregar información relacionada con la TCM. En un comunicado de prensa publicado por el sindicato, se critica la decisión de la SETENA, tomada el día anterior, de permitir el inicio de las obras de la nueva terminal por la transnacional holandesa APM Terminals. Asimismo, se agrega que la entidad no respetó el criterio de expertos en materia ambiental sobre el impacto ambiental de este nuevo puerto sobre la provincia de Limón.","La Nación: SINTRAJAP PRESENTÓ RECURSO DE AMPARO CONTRA SETENA POR NO PRESENTARLE INFORMACIÓN DEL MEGAPUERTO (2014-12-18), La Extra: INTERPONEN AMPARO CONTRA SETENA (2014-12-19)"
2,2014-12-18,San José,San José,No registrada,Denuncia ante entidades nacionales y/o entidades internacionales,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Entregar información sobre la TCM.,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,SETENA,Entidades de regulación,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El SINTRAJAP informa que ha presentado un recurso de amparo en contra de la SETENA debido a la negativa de esta de entregar información relacionada con la TCM. En un comunicado de prensa publicado por el sindicato, se critica la decisión de la SETENA, tomada el día anterior, de permitir el inicio de las obras de la nueva terminal por la transnacional holandesa APM Terminals. Asimismo, se agrega que la entidad no respetó el criterio de expertos en materia ambiental sobre el impacto ambiental de este nuevo puerto sobre la provincia de Limón.","La Nación: INTRAJAP PRESENTÓ RECURSO DE AMPARO CONTRA SETENA POR NO PRESENTARLE INFORMACIÓN DEL MEGAPUERTO (2014-12-18), La Extra: NTERPONEN AMPARO CONTRA SETENA (2014-12-19)"
4,2014-12-20,San José,San José,Regional,Paro,NA,Trabajadoras y Trabajadores de la MSJ,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Aumentar el porcentaje de ajuste salarial para el 2015.,Defensa del trabajo y las condiciones laborales,Aumento salarial,MSJ,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de la MSJ se declara en paro de labores luego de conocer el porcentaje de aumento de 5% propuesto por las autoridades de la municipalidad para el 2015. Dicho porcentaje se dividiría en un 2,5% para el primer semestre y un 2,5% para el segundo semestre. Ante la protesta, apoyada por la ANEP, una representación de las y los trabajadores sostiene una negociación con autoridades de la municipalidad y acuerdan fijar un 6% de aumento para el sector administrativo, distribuido en un 3% para cada semestre, y un 7% para el sector operario, un 3% en el primer semestre y un 4% en el segundo semestre.",La Extra: RECLAMAN MAYOR AUMENTO SALARIAL EN 2015 (2014-12-20)
5,2014-12-22,San José,San José,No registrada,Declaración pública,NA,SINTRAJAP,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Respetar las condiciones laborales estipuladas en la convención colectiva vigente,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Ronaldo Blear, secretario general del SINTRAJAP, declara, durante una entrevista con Diario Extra, que la organización sindical defenderá las condiciones laborales de las y los trabajadores portuarios estipuladas en la convención colectiva vigente. El SINTRAJAP iniciará en enero próximo, la negociación de una nueva convención luego de que la JAPDEVA denunciara la actual. De acuerdo con Blear, tienen conocimiento de las sugerencias hechas por la Comisión de Convenciones Colectivas del gobierno, entre las cuales figuran la reducción en un 50% del subsidio de alimentación que reciben las y los trabajadores de los muelles, la reducción de 20 a 10 años de la cesantía y la eliminación de la comisión bipartita. El secretario general del SINTRAJAP manifiesta que no aceptarán ninguna propuesta que desmejore las condiciones laborales actuales, aunque sí están dispuestos a darle “nueva forma” a ciertos artículos que en su redacción actual generan confusión.",La Extra: SINTRAJAP NO ACEPTA CAMBIOS A SU CONVENCIÓN COLECTIVA (2014-12-22)
6,2014-12-20,San José,San José,Regional,Reunión con autoridades,NA,Trabajadoras y Trabajadores y autoridades de la MSJ,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Aumentar el porcentaje de ajuste salarial para el 2015.,Defensa del trabajo y las condiciones laborales,Aumento salarial,MSJ,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de la MSJ se declara en paro de labores luego de conocer el porcentaje de aumento de 5% propuesto por las autoridades de la municipalidad para el 2015. Dicho porcentaje se dividiría en un 2,5% para el primer semestre y un 2,5% para el segundo semestre. Ante la protesta, apoyada por la ANEP, una representación de las y los trabajadores sostiene una negociación con autoridades de la municipalidad y acuerdan fijar un 6% de aumento para el sector administrativo, distribuido en un 3% para cada semestre, y un 7% para el sector operario, un 3% en el primer semestre y un 4% en el segundo semestre.",La Extra: RECLAMAN MAYOR AUMENTO SALARIAL EN 2015 (2014-12-20)
7,2014-12-23,Alajuela,Alajuela,Regional,Declaración pública,Denuncia,Vecinas y Vecinos de Alajuela,Grupos de vecinos y vecinas,NA,Solucionar el problema con los semáforos,"Mejora y/o defensa en el acceso, calidad y costo de la infraestructura pública",NA,MOPT,Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de vecinas y vecinos de Alajuela manifiestan molestias debido a problemas con los semáforos ubicados en la entrada a la provincia de Alajuela, en las cercanías del colegio Marista. De acuerdo con las y los vecinos, los semáforos no funcionan correctamente, ocasionando congestionamiento vial y accidentes de tránsito. Uno de los afectados indica que han presentado la denuncia ante el MOPT, sin embargo, este no ha solucionado la situación.",La Extra: VECINOS HARTOS POR SEMÁFOROS TONTOS (2014-12-23)
8,2014-12-29,San José,San José,Nacional,Declaración pública,NA,Coalición Patria Justa,Grupos y/u organizaciones de trabajadores y trabajadoras,NA,Contra el decreto ejecutivo para regular las huelgas en servicios públicos esenciales,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Albino Vargas, secretario general de la ANEP, en nombre de la coalición Patria Justa, manifiesta un total rechazo a la decisión del gobierno de emitir un decreto ejecutivo con el que pretende regular las huelgas en servicios públicos esenciales. La decisión del poder ejecutivo surge luego de la decisión del presidente Solís de retirar el veto impuesto por la ex presidenta Laura Chinchilla a la Reforma Procesal Laboral. La medida despertó el malestar entre distintos sectores sociales, incluidos el gobierno y las cámaras empresariales. Ahora con el decreto ejecutivo no. 38767-MP-MTSS-MJP, el ejecutivo busca la regulación de las huelgas en servicios públicos considerados esenciales, con lo cual, según Vargas, se está dando una “extralimitación jurídica”. Ante esto, Patria Justa anuncia acciones tanto por la vía legal como posibles protestas callejeras.",La Extra: PATRIA JUSTA OPUESTA A REGULAR HUELGAS MEDIANTE DECRETO (2014-12-29)
9,2014-12-29,San José,San José,Nacional,Declaración pública,NA,CADEXCO,Grupos y/u organizaciones empresariales,NA,Establecer una oficina de administración de tratados comerciales,Intervención del gobierno,Cumplimiento de acuerdos,Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Laura Bonilla, presidenta de la CADEXCO, externa la solicitud hecha por su organización para que el COMEX establezca una oficina de administración de tratados comerciales. De acuerdo con Bonilla, dicha oficina es un compromiso no cumplido por gobiernos anteriores y que espera se cumpla durante la administración actual. La gestión de los tratados es un problema que debe atenderse, según la CADEXCO, pues el país se ha dedicado a “firmar y firmar” tratados comerciales, en lugar de administrar los existentes.",La Extra: PIDEN OFICINA PARA ADMINISTRAR TRATADOS (2014-12-29)
10,2014-12-30,San José,San José,Nacional,Declaración pública,NA,Asociación de Cámaras de Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Otorgar una prórroga para la renovación de la unidades,Fiscalización de la función pública y rendición de cuentas,Solicitud de respuesta,MOPT,Ministerios,No registrado,NA,Particular,No registrado o no existencia,"Miembros de la Asociación de Cámaras de Porteadores confirman el envío de una carta solicitando el otorgamiento de una prórroga para la renovación de las unidades del SEET. El MOPT, de acuerdo con uno de los dirigentes de la asociación, habría recibido la carta hace un mes, sin embargo, la misma no ha sido analizada por las autoridades. Este grupo conocido popularmente como “porteadores” pide que se establezca un plazo hasta julio de 2015 para sustituir las unidades con una antigüedad mayor a los 15 años, tal como lo define la legislación. Sostienen que muchos de ellos no son “sujetos de crédito” lo cual dificulta el cambio de los automóviles.",La Extra: PORTEADORES PIDEN PRÓRROGA PARA CAMBIAR CARROS (2014-12-30)
11,2014-12-18,Alajuela,Alajuela,Regional,Huelga,NA,Trabajadores del centro comercial City Mall,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Cancelar dineros adeudados,Defensa del trabajo y las condiciones laborales,Pago de salarios,Empresas constructoras del centro comercial City Mall,Empresas privadas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de trabajadores de la construcción que laboran en la edificación del centro comercial City Mall en Alajuela, se declara nuevamente en huelga como medida de protesta por la cancelación de dineros adeudados. La semana anterior, este grupo habría alcanzado un acuerdo con las empresas para las que trabajan y el MTSS, no obstante esto deciden retomar el movimiento debido a que, según ellos, no existen garantías de que se les cancele lo adeudado antes del cierre de fin año.",CR Hoy: TRABAJADORES DE CITY MALL VOLVERÁN A HUELGA (2014-12-18)
12,2014-12-17,San José,San José,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,NA,Asociación Nacional Pro Defensa de los Usuarios de los Servicios Públicos,Grupos y/u organizaciones de usuarios y usuarias,NA,Eliminar el trayecto por el Paseo Colón del Tope Nacional,"Mejora y/o defensa en el acceso, calidad y costo de la infraestructura pública",NA,"Comisión de Fiestas de la MSJ y Sandra García, alcaldesa de San José",Municipalidad en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"La Asociación Nacional Pro Defensa de los Usuarios de los Servicios Públicos presenta un recurso de amparo ante la Sala Constitucional contra la Comisión de Fiestas de la MSJ y Sandra García, alcaldesa de San José. El recurso busca que la sala elimine el paso por el Paseo Colón del trayecto del Tope Nacional, pues, según argumenta la asociación, este obstaculiza el libre tránsito de vehículos hacia los hospitales San Juan de Dios y de Niños como también de vehículos hacia el Aeropuerto Internacional Juan Santamaría. En el recurso se solicita una modificación del trayecto hacia la Avenida 10, la cual es más amplia y no obstaculiza el tránsito de vehículos hacia hospitales u otros centros importantes.",CR Hoy: INTERPUSIERON RECURSO DE AMPARO CONTRA TOPE DE SAN JOSÉ (2014-12-25)
13,2014-12-26,San José,San José,Nacional,Mitin o concentración,NA,Frente de Resistencia Animal y de la Tierra,Grupos y/u organizaciones ambientalistas,NA,Contra las corridas de toros,Defensa del ambiente,Defensa de los animales,Población en general,Población en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo denominado como Frente de Resistencia Animal y de la Tierra protesta contra las corridas de toros que se celebran anualmente en la Plaza de Toros de Zapote, como parte de los festejos populares de fin de año. El grupo, compuesto en su mayoría por jóvenes, denuncia el maltrato que sufren los toros antes, durante y después de las corridas.","CR Hoy: GRUPO PROTESTA CONTRA CORRIDAS DE TOROS EN ZAPOTE, JÓVENES ASEGURAN QUE ES MALTRATO ANIMAL (2014-12-26)"
14,2015-01-15,San José,San José,Nacional,Reunión con autoridades,NA,Organizaciones sindicales y autoridades de gobierno,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,"Realizar un aumento salarial de 4,3% para las y los trabajadores no profesionales y 2,1% para las y los trabajadores profesionales del sector público.",Defensa del trabajo y las condiciones laborales,Aumento salarial,CNS,Ministerios,No registrado,Participación conjunta,Particular,No registrado o no existencia,"Este día, en el marco de la CNS, un grupo de organizaciones sindicales, en su mayoría centrales sindicales, en representación de las y los trabajadores del sector público, presenta una solicitud de aumento de 4,3% para las y los trabajadores no profesionales y de 2,1% para las y los trabajadores profesionales de ese sector. La propuesta es presentada en nombre de la CTRN, la CSJMP, la CMTC, la CCTD y la CUT.","La Nación: SINDICATOS PIDEN ALZA DE UN 2,1% PARA PROFESIONALES (2015-01-16), La Extra: NEGOCIACIÓN SALARIAL PÚBLICA SIN RESULTADOS (2015-01-16)"
15,2015-01-16,San José,San José,Nacional,Reunión con autoridades,NA,Organizaciones sindicales y autoridades de gobierno,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,"Contra la propuesta de ajuste salarial de 0,94% para el sector público",Defensa del trabajo y las condiciones laborales,Aumento salarial,CNS,Ministerios,No registrado,Participación conjunta,Particular,No registrado o no existencia,"Durante una reunión convocada de urgencia por Victor Morales, ministro de Trabajo y Seguridad Social, el gobierno comunica a un grupo de organizaciones sindicales que la propuesta de ajuste salarial para el primer semestre del 2015 será de 0,94% para todo el sector público. Ante esto, los sindicatos rechazan la propuesta y amenazan con medidas de presión, si el gobierno decide aprobarla mediante decreto ejecutivo.",La Extra: SE ACABÓ EL AMOR ENTRE GOBIERNO Y SINDICATOS (2015-01-17)
16,2015-01-20,Guanacaste,Liberia,Regional,Huelga,NA,Trabajadoras y Trabajadores del hospital Enrique Baltodano,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Mejorar las condiciones del hospital de Liberia y cancelar dineros adeudados.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de salud y seguridad social",CCSS,Instituciones descentralizadas y/o autónomas,Acuerdo tras negociación,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Tras varias horas de negociación, en horas de la madrugada, finalmente se alcanza un acuerdo entre las y los trabajadores del hospital de Liberia declarados en huelga desde el día anterior y las autoridades del hospital y de la CCSS, con lo cual se levanta el movimiento de protesta. Entre los acuerdos en firme, se define el pago de los dineros adeudados y mejoras en la planta física y en el número de personal del departamento de Recursos Humanos.","La Extra: 9 ACUERDOS FINALIZAN HUELGA EN HOSPITAL DE LIBERIA (2015-01-21), CR Hoy: TERMINÓ EL PARO EN EL HOSPITAL DE LIBERIA, FUNCIONARIOS LLEGAN A UN ACUERDO CON LA CAJA (2015-01-20)"
17,2015-01-20,Guanacaste,Liberia,Regional,Reunión con autoridades,NA,Trabajadoras y Trabajadores del hospital Enrique Baltodano y autoridades de la CCSS,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Mejorar las condiciones del hospital de Liberia y cancelar dineros adeudados.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de salud y seguridad social",CCSS,Instituciones descentralizadas y/o autónomas,Acuerdo tras negociación,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Tras varias horas de negociación, en horas de la madrugada, finalmente se alcanza un acuerdo entre las y los trabajadores del hospital de Liberia declarados en huelga desde el día anterior y las autoridades del hospital y de la CCSS, con lo cual se levanta el movimiento de protesta. Entre los acuerdos en firme, se define el pago de los dineros adeudados y mejoras en la planta física y en el número de personal del departamento de Recursos Humanos.","La Extra: ACUERDOS FINALIZAN HUELGA EN HOSPITAL DE LIBERIA (2015-01-21), CR Hoy: ERMINÓ EL PARO EN EL HOSPITAL DE LIBERIA, FUNCIONARIOS LLEGAN A UN ACUERDO CON LA CAJA (2015-01-20)"
18,2015-01-19,Guanacaste,Liberia,Regional,Huelga,NA,Trabajadoras y Trabajadores del hospital Enrique Baltodano,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Mejorar las condiciones del hospital de Liberia y cancelar dineros adeudados.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de salud y seguridad social",CCSS,Instituciones descentralizadas y/o autónomas,Acuerdo de negociar,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de distintas áreas del hospital Enrique Baltodano de Liberia se declara en huelga ante una serie de problemas con el departamento de Recursos Humanos de dicho centro médico. De acuerdo con un dirigente de la UNDECA, la protesta busca la mejora en la atención de las y los usuarios, ante la falta de personal necesario para prestar un servicio de calidad. Asimismo, las y los trabajadores reclaman el pago de dineros adeudados. Luego de varias horas de negociación, se logra un principio de acuerdo con el cual se finalizaría la huelga, restando la redacción de un documento. Entre ellos se define nombrar cuatro funcionarios adicionales para el departamento de Recursos Humanos, mientras se realiza un estudio de necesidad de personal. Asimismo, la CCSS se compromete a proceder con el pago de los dineros adeudados y no tomar represalias contra las y los participantes de la protesta. Durante el desarrollo de la manifestación, la CCSS, mediante su gerente médica, María Eugenia Villalta, indica en un comunicado de prensa que se mantienen negociaciones para dotar de nuevas plazas a dicho hospital. Agrega que en 2013, la oficina de Recursos Humanos, asignó plazas, sin embargo, un estudio mostró que no existía necesidad de las mismas.","La Nación: HOSPITAL DE LIBERIA EN PARO POR MEJOR SERVICIO (2015-01-19), La Extra: HOSPITAL DE LIBERIA EN PARO POR MEJOR SERVICIO (2015-01-20), CR Hoy: FUNCIONARIOS DEL HOSPITAL DE LIBERIA ESTÁN EN HUELGA POR FALTA DE PAGO Y EQUIPO MÉDICO (2015-01-19)"
19,2015-01-19,Guanacaste,Liberia,Regional,Reunión con autoridades,NA,Trabajadoras y Trabajadores del hospital Enrique Baltodano y autoridades de la CCSS,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,Mejorar las condiciones del hospital de Liberia y cancelar dineros adeudados.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de salud y seguridad social",CCSS,Instituciones descentralizadas y/o autónomas,Acuerdo de negociar,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de distintas áreas del hospital Enrique Baltodano de Liberia se declara en huelga ante una serie de problemas con el departamento de Recursos Humanos de dicho centro médico. De acuerdo con un dirigente de la UNDECA, la protesta busca la mejora en la atención de las y los usuarios ante la falta de personal necesario para prestar un servicio de calidad. Asimismo, las y los trabajadores reclaman el pago de dineros adeudados. Luego de varias horas de negociación, se logra un principio de acuerdo con el cual se finalizaría la huelga, restando la redacción de un documento. Entre ellos se define nombrar cuatro funcionarios adicionales para el departamento de Recursos Humanos, mientras se realiza un estudio de necesidad de personal. Asimismo, la CCSS se compromete a proceder con el pago de los dineros adeudados y no tomar represalias contra las y los participantes de la protesta. Durante el desarrollo de la manifestación, la CCSS, mediante su gerente médica, María Eugenia Villalta, indica en un comunicado de prensa que se mantienen negociaciones para dotar de nuevas plazas a dicho hospital. Agrega que en 2013, la oficina de Recursos Humanos, asignó plazas, sin embargo, un estudio mostró que no existía necesidad de las mismas.","La Nación: OSPITAL DE LIBERIA EN PARO POR MEJOR SERVICIO (2015-01-19), La Extra: OSPITAL DE LIBERIA EN PARO POR MEJOR SERVICIO (2015-01-20), CR Hoy: UNCIONARIOS DEL HOSPITAL DE LIBERIA ESTÁN EN HUELGA POR FALTA DE PAGO Y EQUIPO MÉDICO (2015-01-19)"
20,2015-01-20,San José,San José,Nacional,Reunión con autoridades,NA,Organizaciones sindicales y autoridades de gobierno,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,"Realizar un aumento salarial de 4,0% para las y los trabajadores no profesionales y 2,8% para las y los trabajadores profesionales del sector público.",Defensa del trabajo y las condiciones laborales,Aumento salarial,CNS,Ministerios,No registrado,Participación conjunta,Particular,No registrado o no existencia,"En las instalaciones de Caja de ANDE en San José se desarrolla una segunda reunión de la CNS para discutir el porcentaje de ajuste salarial de las y los trabajadores del sector público para el primer semestre de 2015. Este día, un grupo de organizaciones sindicales, integradas en BUSSCO, presenta una propuesta de ajuste de 4,0% para las y los trabajadores no profesionales y de 2,08% para los profesionales, porcentaje que incluye el 0,15% que, según los sindicatos, el gobierno adeuda a estos trabajadores y trabajadoras. Asimismo, el gobierno, mediante Alfredo Hasbum, viceministro de Trabajo, presenta su propuesta de ajuste de 0,94%, la cual, sostiene, se basa en la fórmula de ajuste acordada entre las partes, reconociéndose la inflación del semestre anterior. La propuesta es calificada por los sindicatos como una “falta de respeto”. Por su parte, tanto Victor Morales, ministro de Trabajo y Seguridad Social, como los representantes de los sindicatos que presentaron su propuesta la semana anterior, no participan de la reunión.","La Nación: GOBIERNO OFRECE UN INCREMENTO DE 0,94% EN SALARIOS DEL SECTOR PÚBLICO (2015-01-20), La Extra: SE ROMPEN RELACIONES GOBIERNO-SINDICATOS (2015-01-21), CR Hoy: SINDICATOS SE LEVANTAN DE LA MESA DE NEGOCIACIÓN, GOBIERNO INSISTE EN EL 0,94% DE AJUSTE PARA EL SECTOR PÚBLICO (2015-01-20)"
21,2015-01-20,San José,San José,Nacional,Reunión con autoridades,NA,Organizaciones sindicales y autoridades de gobierno,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector público,"Discutir la propuesta de ajuste salarial de 0,94% para el sector público.",Defensa del trabajo y las condiciones laborales,Aumento salarial,CNS,Ministerios,No registrado,NA,Particular,No registrado o no existencia,"Luego de que el gobierno presentara su propuesta de ajuste salarial de 0,94% para las y los trabajadores del sector público; miembros de las centrales sindicales, entre ellos de la ANEP y la CSJMP, sostienen una reunión con Helio Fallas, ministro de Hacienda; Victor Morales, ministro de Trabajo y Seguridad Social; y otros altos funcionarios, entre ellos los viceministros encargados de la negociación en la CNS. La información es suministrada mediante un comunicado de prensa emitido por la ANEP, en el cual se indica la posibilidad de conseguir un ajuste salarial mayor para las escalas salariales más bajas, luego de que se eliminara el denominado “desenganche” que desvincula el ajuste de estas escalas con un ajuste automático a los salarios de las y los profesionales en ciencias médicas.",CR Hoy: SINDICATO SE REUNIÓ CON HACIENDA PARA TRATA TEMA DEL AJUSTE SALARIAL (2015-01-21)
22,2015-01-20,San José,San José,No registrada,Mitin o concentración,NA,Frente Común de Transporte de Carga Pesada,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Solucionar la competencia desleal por parte de transportistas de carga pesada de Centroamérica,Intervención del gobierno,Cumplimiento de acuerdos,"Luis Guillermo Solís Rivera, presidente de la República",Presidente de la República,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de transportistas, organizados en el Frente Común de Transporte de Carga Pesada, se mantiene concentrado frente a Casa Presidencial en Zapote, como medida de presión para que el gobierno cumpla con la palabra del presidente Luis Guillermo Solís, de establecer una mesa de trabajo para discutir la situación del transporte de carga pesada en el país. En concreto, este grupo denuncia competencia desleal por parte de transportistas del resto de Centroamérica, quienes, según indican, permanecen trabajando en el país, mientras ellos -los transportistas costarricenses- tienen prohibido hacerlo en los otros países.",CR Hoy: TRANSPORTISTAS SE REÚNEN EN FRENTE DE CASA PRESIDENCIAL PARA EXIGIR DERECHOS (2015-01-20)
23,2015-01-22,San José,San José,Nacional,Declaración pública,Denuncia,ASTRADOMES,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Establecer un seguro especial para las trabajadores domésticas que trabajan por horas,Defensa del trabajo y las condiciones laborales,Mejora y/o mantenimiento de las condiciones laborales,Administración Solís Rivera,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En conferencia de prensa, la ASTRADOMES demanda el establecimiento de un seguro especial para las trabajadoras domésticas que trabajan por horas. Durante el acto, en el cual se hace pública la entrada en vigencia del convenio 189 “sobre las y los trabajadores domésticos” de la OIT, Rosita Acosta, presidenta de la ASTRADOMES, indica que en Costa Rica laboran más de 180 mil personas en trabajos domesticos, en su gran mayoría mujeres, las cuales cuentan con un muy bajo nivel de aseguramiento. Con el amparo del convenio mencionado, la ASTRADOMES demandará con más fuerza, la protección social para las trabajadoras domésticas.",La Nación: EMPLEADAS DOMÉSTICAS DEMANDAN SEGURO ESPECIAL PARA AQUELLAS QUE TRABAJAN POR HORAS (2015-01-22)
24,2015-01-16,Limón,Talamanca,Regional,Huelga,NA,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,BANDECO,Empresas privadas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Este día, trabajadores y trabajadoras de la compañía bananera BANDECO, subsidiaria de Del Monte, se declaran en huelga. El movimiento demanda el inicio de una mesa de negociación para la firma de una nueva convención colectiva de trabajo, luego de que en diciembre pasado, venciera la anterior. Ante dicho vencimiento, la compañía liquidó a todas y todos los trabajadores y los recontrató, quedando excluidos algunos de ellos. No obstante, sostienen las y los trabajadores, no existen garantías de que serán recontratados, por lo que decidieron declarar la huelga.",CR Hoy: TRABAJADORES DE BANDECO EN FINCAS DE SIXAOLA ESTÁN EN HUELGA (2015-01-16)
25,2015-01-24,Limón,Talamanca,Regional,Bloqueo,NA,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Solucionar la huelga en BANDECO.,Intervención del gobierno,NA,Administración Solís Rivera,Gobierno en general,No registrado,NA,Particular,No registrado o no existencia,"Un grupo de trabajadores y trabajadoras de la compañía bananera BANDECO, ubicada en Sixaola de Limón, cierra el paso sobre la carretera Sixaola-Limón para demandar la intervención del gobierno en el conflicto entre trabajadores y trabajadoras desatado luego de un cambio en la política laboral de la empresa. Según se reporta, en diciembre pasado, la compañía despidió a todas las y los trabajadores y los recontrató bajo nuevas condiciones laborales, ocasionando el malestar de un sector de las y los trabajadores. Los que protestan este día, se manifiestan de acuerdo con la nueva política, argumentando que se acerca el inicio del período lectivo y que necesitan regresar a trabajar para suplir los gastos de sus familias. Durante el bloqueo, se presenta un enfrentamiento entre ambos bandos de trabajadores, resultando en dos de estos heridos. Asimismo, el grupo de trabajadores y trabajadoras que se mantiene bloqueando, anuncia nuevos cortes de ruta para la siguiente semana.","La Nación: CONFLICTO DE EMPLEADOS PARALIZA FINCA BANANERA (2015-01-25), CR Hoy: TRABAJADORES DE BANANERA ANUNCIAN EL CIERRE DEL PASO POR SIXAOLA EL PRÓXIMO LUNES (2015-01-24)"
